University,City,Country,CourseName,CourseDescription,StartDate,EndDate,Price,Currency
Universidad Católica Santo Toribio de Mogrovejo,Santiago de Cao,Peru,Analyst Programmer,Down-sized grid-enabled protocol,2018-09-11,2018-12-13,4812.05,PEN
South China University,Zhongluotan,China,Media Manager I,Cross-group reciprocal support,2018-07-25,2019-02-20,7341.15,CNY
"St. Petersburg State University of Information Technologies, Mechanics and Optics",Vikhorevka,Russia,Information Systems Manager,User-friendly heuristic collaboration,2017-03-08,2017-06-17,184.19,RUB
Universidad Nacional Autónoma de Honduras,Casa Quemada,Honduras,Research Nurse,Ergonomic 6th generation utilisation,2018-09-21,2019-03-24,4930.53,HNL
University of Education Hradec Kralove,Vyšší Brod,Czech Republic,Dental Hygienist,Public-key homogeneous database,2016-06-20,2016-08-09,2417.15,CZK
Ural Academy of Public Administration,Ventsy,Russia,Office Assistant III,Exclusive eco-centric paradigm,2018-06-14,2018-11-07,3470.07,RUB
China University of Geoscience Beijing,Junzhuang,China,Product Engineer,Intuitive static pricing structure,2017-12-19,2018-01-15,6170.4,CNY
Fudan University,Zhangping,China,Senior Developer,Digitized heuristic info-mediaries,2018-09-22,2019-02-03,6537.46,CNY
Biysk State Padagogical University after V.M. Shukshin ,Isakly,Russia,Senior Quality Engineer,Synchronised 5th generation adapter,2018-09-03,2019-03-20,8589.9,RUB
Walter Sisulu University for Technology and Science,Clanwilliam,South Africa,Compensation Analyst,Realigned zero administration methodology,2017-10-08,2017-11-21,2455.18,ZAR
Tianjin Polytechnic University,Tanzhesi,China,Recruiting Manager,Phased exuding moratorium,2017-06-29,2017-10-27,4406.73,CNY
Beijing Polytechnic University,Banghai,China,Social Worker,Universal multimedia info-mediaries,2018-09-26,2019-03-09,3434.46,CNY
Universidad Nacional Federico Villarreal,Cotaparaco,Peru,Registered Nurse,Diverse actuating standardization,2018-09-11,2018-11-20,8303.3,PEN
Sophia University,Shimodate,Japan,Legal Assistant,Implemented human-resource infrastructure,2018-08-11,2018-08-29,3054.48,JPY
Instituto Politécnico de Bragança,Guarda Nova,Portugal,Human Resources Assistant II,Cloned maximized algorithm,2017-05-02,2017-07-15,9711.6,EUR
Music Academy in Lodz,Okocim,Poland,Assistant Professor,Managed content-based initiative,2019-09-23,2020-04-18,7429.19,PLN
Changchun University of Technology,Tekes,China,Statistician IV,Decentralized dynamic leverage,2019-04-16,2019-05-27,7192.06,CNY
Tianjin University of Commerce,Xingfu,China,Research Assistant IV,Digitized grid-enabled parallelism,2018-10-02,2019-03-25,6806.18,CNY
Leyte Normal University,Malaga,Philippines,Community Outreach Specialist,Persevering foreground internet solution,2016-02-25,2016-05-14,4667.82,PHP
Prague College,Česká Skalice,Czech Republic,Electrical Engineer,Vision-oriented clear-thinking middleware,2019-05-11,2019-05-28,7315.67,CZK
Universidade Gregorio Semedo,Huambo,Angola,Assistant Media Planner,Digitized demand-driven orchestration,2019-01-20,2019-02-22,9598.23,AOA
Gotland University College,Finspång,Sweden,Civil Engineer,Focused holistic matrix,2018-10-08,2018-11-23,6903.71,SEK
"Washington State University, Tri-Cities",Brooklyn,United States,Legal Assistant,Organic demand-driven approach,2017-01-24,2017-07-30,3425.45,USD
Universiti Malaysia Perlis,Baucau,East Timor,Senior Sales Associate,Compatible 24 hour superstructure,2017-08-08,2018-01-10,4984.03,USD
University of Oslo,Trondheim,Norway,Assistant Manager,Business-focused reciprocal capacity,2019-06-07,2019-09-20,1294.38,NOK
Quest University,Pont-Rouge,Canada,Occupational Therapist,Profit-focused methodical algorithm,2016-08-11,2017-02-13,6440.27,CAD
Al-Wataniya Private University,Hīsh,Syria,Speech Pathologist,Stand-alone coherent hub,2017-12-10,2017-12-21,1192.75,SYP
Al-Zaytoonah University,Mādabā,Jordan,Payment Adjustment Coordinator,Switchable full-range migration,2016-09-02,2016-09-13,3496.38,JOD
"Islamic Azad University, Shahrood",Feyẕābād,Iran,Registered Nurse,Inverse foreground synergy,2019-02-21,2019-09-28,7779.11,IRR
Hacettepe University,Ovacik,Turkey,Senior Developer,Pre-emptive solution-oriented definition,2016-05-10,2016-06-28,2630.76,TRY
Liaocheng Teachers University,Wantan,China,Occupational Therapist,Operative modular productivity,2018-09-25,2019-03-04,8293.36,CNY
Józef Tyszkiewicz College of Business and Computer Science in Bielsko-Biala,Warlubie,Poland,Marketing Assistant,Total even-keeled open system,2018-12-12,2019-02-03,5926.53,PLN
Instituto Tecnológico Metropolitano,Curití,Colombia,Web Developer IV,Synergized radical implementation,2017-07-07,2017-12-17,9597.65,COP
Shanghai Lixin University of Commerce,Yuanshanzi,China,Senior Quality Engineer,Streamlined methodical local area network,2018-01-14,2018-06-19,8023.26,CNY
Universidade Luterana do Brasil,Porto Seguro,Brazil,Geological Engineer,Robust composite contingency,2017-12-08,2018-01-17,4934.84,BRL
Universidade Candido Mendes,Barão de Cocais,Brazil,Structural Analysis Engineer,Ameliorated leading edge policy,2018-04-14,2018-09-29,691.82,BRL
Chengdu University of Traditional Chinese Medicine,Rendian,China,Staff Scientist,Ameliorated directional productivity,2018-10-15,2019-04-13,6650.17,CNY
